id;levelFile;levelNumber;agent;result;steps;playTimeMillis
MyAgent;easy.sok;1;MyAgent;VICTORY;5;13
MyAgent;easy.sok;2;MyAgent;VICTORY;13;24
MyAgent;easy.sok;3;MyAgent;VICTORY;25;21
MyAgent;easy.sok;4;MyAgent;VICTORY;37;22
MyAgent;easy.sok;5;MyAgent;VICTORY;60;38
MyAgent;easy.sok;6;MyAgent;VICTORY;69;51
MyAgent;easy.sok;7;MyAgent;VICTORY;71;36
MyAgent;easy.sok;8;MyAgent;VICTORY;104;61
MyAgent;easy.sok;9;MyAgent;VICTORY;99;117
MyAgent;easy.sok;10;MyAgent;VICTORY;93;155
MyAgent;Aymeric_Medium.sok;1;MyAgent;VICTORY;97;747
MyAgent;Aymeric_Medium.sok;2;MyAgent;VICTORY;148;722
MyAgent;Aymeric_Medium.sok;3;MyAgent;VICTORY;104;790
MyAgent;Aymeric_Medium.sok;4;MyAgent;VICTORY;113;1028
MyAgent;Aymeric_Medium.sok;5;MyAgent;VICTORY;171;930
MyAgent;Aymeric_Medium.sok;6;MyAgent;VICTORY;136;1452
MyAgent;Aymeric_Medium.sok;7;MyAgent;VICTORY;178;1339
MyAgent;Aymeric_Medium.sok;8;MyAgent;VICTORY;69;1191
MyAgent;Aymeric_Medium.sok;9;MyAgent;VICTORY;110;772
MyAgent;Aymeric_Medium.sok;10;MyAgent;VICTORY;113;1248
MyAgent;Aymeric_Hard.sok;1;MyAgent;VICTORY;262;2845
MyAgent;Aymeric_Hard.sok;2;MyAgent;VICTORY;151;4844
MyAgent;Aymeric_Hard.sok;3;MyAgent;VICTORY;119;3422
MyAgent;Aymeric_Hard.sok;4;MyAgent;VICTORY;118;4564
MyAgent;Aymeric_Hard.sok;5;MyAgent;VICTORY;245;3659
MyAgent;Aymeric_Hard.sok;6;MyAgent;VICTORY;201;5119
MyAgent;Aymeric_Hard.sok;7;MyAgent;VICTORY;140;2751
MyAgent;Aymeric_Hard.sok;8;MyAgent;VICTORY;302;4438
MyAgent;Aymeric_Hard.sok;9;MyAgent;TIMEOUT;0;6000
